Vam,Vbm,Vcm,Iam,Ibm,Icm,Vap,Vbp,Vcp,Iap,Ibp,Icp,Fault,Location
0.013708095,0.875578023,0.884292686,0.697414322,0.170511858,0.175669086,-80.88290227,-122.2286125,118.2206303,-80.66796302,-33.84683535,-151.2039355,1,0
0.01370784,0.875415973,0.884467417,0.697401435,0.170431612,0.175590638,-80.88074932,-122.2114692,118.240318,-80.66577354,-33.85823411,-151.187192,1,0
0.013707829,0.87543983,0.884309298,0.69740182,0.170351881,0.175512552,-80.87724866,-122.2258608,118.2323981,-80.66211872,-33.87030597,-151.1689893,1,0
0.013708134,0.875546208,0.88393963,0.697420932,0.170295113,0.175452291,-80.87342285,-122.2574082,118.2081284,-80.65776053,-33.88131883,-151.1540235,1,0
0.013707901,0.875625296,0.88367325,0.697411649,0.170254944,0.175422739,-80.87414415,-122.2798372,118.1929012,-80.65809188,-33.88394771,-151.1435964,1,0
0.013707553,0.875617742,0.883831798,0.697396116,0.170216196,0.175400394,-80.87457512,-122.266763,118.2004396,-80.65823995,-33.88402283,-151.1340354,1,0
0.013707922,0.875598647,0.884266573,0.69741832,0.170159126,0.175364159,-80.87391618,-122.2293488,118.214447,-80.65727976,-33.88958513,-151.1160814,1,0
0.013707922,0.875598647,0.884266573,0.69741832,0.170159126,0.175364159,-80.87391618,-122.2293488,118.214447,-80.65727976,-33.88958513,-151.1160814,1,0
0.013708245,0.875595198,0.884306765,0.697435184,0.170156465,0.175358443,-80.87324541,-122.2247628,118.214055,-80.65659119,-33.89248707,-151.1139079,1,0
0.013708245,0.875595198,0.884306765,0.697435184,0.170156465,0.175358443,-80.87324541,-122.2247628,118.214055,-80.65659119,-33.89248707,-151.1139079,1,0
0.013708207,0.875593377,0.884322258,0.697433551,0.170152869,0.175356767,-80.87314086,-122.2235392,118.2149424,-80.65645544,-33.89230111,-151.1131095,1,0
0.013708172,0.875591677,0.884337259,0.69743208,0.170149192,0.175355047,-80.87304252,-122.2223366,118.2157822,-80.65632576,-33.89213847,-151.1122707,1,0
0.013708211,0.875588393,0.884371796,0.697434689,0.170141751,0.175350368,-80.87272743,-122.2191228,118.2169256,-80.65595487,-33.89272502,-151.1100606,1,0
